HOUR,DAYWEEK,TOTAL,ALCOHOLRELATED,FATAL,PEDESTRIAN,BICYCLE,MOTORCYCLE,SLEEP,HITANDRUN
19,4,12062,1585,216,1298,1077,726,5,1454
19,5,14998,2276,274,1576,1055,925,3,1905
19,6,12662,2645,292,1288,773,903,4,1867
19,7,11371,2622,300,1135,768,788,2,1746
20,1,8358,1476,211,979,601,457,3,1160
20,2,8626,1488,227,1056,623,506,3,1149
20,3,9028,1644,219,1076,628,557,2,1232
20,4,9098,1743,237,1006,617,564,1,1216
20,5,11423,2469,308,1228,718,674,0,1719
20,6,10687,2773,289,1156,550,613,8,1809
20,7,9883,2758,315,993,521,572,3,1740
21,1,7212,1578,191,718,405,348,6,1104
21,2,7539,1565,181,784,435,384,6,1056
21,3,7905,1646,225,754,489,458,4,1167
21,4,8247,1868,231,798,455,425,3,1227
21,5,10659,2818,341,1059,461,540,2,1745
21,6,10317,3013,341,1113,430,477,6,1860
21,7,8675,2642,267,796,343,383,6,1528
22,1,5534,1443,171,440,246,238,6,855
22,2,5797,1465,177,462,271,294,7,862
22,3,5956,1596,145,445,264,324,2,875
22,4,6497,1883,195,506,254,350,7,972
22,5,9702,2932,268,801,378,490,13,1652
22,6,9682,3373,311,850,321,422,9,1704
22,7,6809,2283,221,476,225,288,4,1225
23,1,3831,1178,143,247,126,163,9,597
23,2,4120,1358,160,272,156,184,7,621
23,3,4441,1477,128,302,160,222,5,718
23,4,4895,1755,153,295,190,246,2,769
23,5,8247,3091,319,608,254,372,8,1426
23,6,8893,3613,335,666,230,346,11,1691
23,7,5087,1865,178,358,142,187,13,928
